City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Natchitoches,US,31.7668,-93.1335,88.65,44,86,3.58,overcast clouds
1,Karasjok,NO,69.4719,25.5112,57.18,75,100,6.06,overcast clouds
2,Komsomolskiy,UZ,40.4272,71.7189,77.72,41,21,4.61,few clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,55,8.01,broken clouds
4,Bozhou,CN,33.8772,115.7703,73.18,58,97,6.6,overcast clouds
5,Ancud,CL,-41.8697,-73.8203,48.6,85,100,8.3,overcast clouds
6,Shitkino,RU,56.3703,98.3543,54.54,65,45,4.7,scattered clouds
7,Fort Nelson,CA,58.8053,-122.7002,63.99,39,75,5.75,broken clouds
8,Ushuaia,AR,-54.8,-68.3,47.86,66,75,4.61,broken clouds
9,Saint-Louis,SN,16.3333,-15.0,85.19,46,10,20.11,clear sky
10,Iqaluit,CA,63.7506,-68.5145,49.73,50,75,18.41,broken clouds
11,Jamestown,US,42.097,-79.2353,73.94,73,75,4.59,broken clouds
12,Port Lincoln,AU,-34.7333,135.8667,53.96,69,62,7.11,broken clouds
13,Maniitsoq,GL,65.4167,-52.9,42.28,77,14,11.45,few clouds
14,Ponta Do Sol,PT,32.6667,-17.1,71.71,80,0,2.24,clear sky
15,Mataura,NZ,-46.1927,168.8643,38.48,88,98,6.2,overcast clouds
16,Severo-Kurilsk,RU,50.6789,156.125,44.91,82,88,10.67,overcast clouds
17,Richards Bay,ZA,-28.783,32.0377,65.66,81,0,12.8,clear sky
18,Yokadouma,CM,3.5167,15.05,73.81,80,91,1.39,overcast clouds
19,Atuona,PF,-9.8,-139.0333,77.54,65,8,13.38,clear sky
20,Rongcheng,CN,30.634,117.8517,67.93,90,99,1.9,moderate rain
21,Dikson,RU,73.5069,80.5464,43.09,73,100,18.07,overcast clouds
22,Leh,IN,34.1667,77.5833,53.08,32,4,4.68,clear sky
23,Yellowknife,CA,62.456,-114.3525,68.52,49,75,19.57,broken clouds
24,Fortuna,US,40.5982,-124.1573,76.93,79,100,5.75,overcast clouds
25,Bengkulu,ID,-3.8004,102.2655,74.8,92,100,8.63,overcast clouds
26,Bougouni,ML,11.417,-7.479,88.88,33,36,7.7,scattered clouds
27,Saint-Philippe,RE,-21.3585,55.7679,65.79,80,49,12.19,scattered clouds
28,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,9.22,broken clouds
29,Qaanaaq,GL,77.484,-69.3632,30.58,72,100,1.1,overcast clouds
30,Souillac,MU,-20.5167,57.5167,73.78,68,75,11.5,broken clouds
31,Aklavik,CA,68.2191,-135.0107,39.2,81,100,13.8,overcast clouds
32,Mar Del Plata,AR,-38.0023,-57.5575,53.62,74,0,6.91,clear sky
33,Port Alfred,ZA,-33.5906,26.891,67.35,37,45,13.42,scattered clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,75,75,10.36,broken clouds
35,Honningsvag,NO,70.9821,25.9704,49.75,87,100,6.91,light rain
36,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,75,11.5,broken clouds
37,Egvekinot,RU,66.3167,-179.1667,36.91,53,82,2.55,broken clouds
38,Busselton,AU,-33.65,115.3333,62.11,87,35,12.64,light rain
39,Bredasdorp,ZA,-34.5322,20.0403,64.31,33,100,4.43,overcast clouds
40,Georgetown,MY,5.4112,100.3354,76.95,94,40,3.44,scattered clouds
41,Ponta Delgada,PT,37.7333,-25.6667,66.51,94,40,12.66,light intensity shower rain
42,Alofi,NU,-19.0595,-169.9187,76.89,94,75,5.75,broken clouds
43,Tignere,CM,7.3667,12.65,64.58,92,12,3.04,few clouds
44,Cape Town,ZA,-33.9258,18.4232,68.41,42,0,14.97,clear sky
45,Bluff,NZ,-46.6,168.3333,38.8,73,100,14.36,overcast clouds
46,Pisco,PE,-13.7,-76.2167,66.25,77,20,6.91,few clouds
47,Kumluca,TR,36.3703,30.2869,72.93,80,3,3.11,clear sky
48,Kirakira,SB,-10.4544,161.9205,80.98,80,14,5.01,few clouds
49,Norman Wells,CA,65.282,-126.8329,53.64,82,100,12.66,overcast clouds
50,Monte Carmelo,BR,-18.7247,-47.4986,66.25,71,100,6.46,overcast clouds
51,Along,IN,28.1667,94.7667,73.47,100,100,1.59,overcast clouds
52,Sorland,NO,67.667,12.6934,49.86,92,94,8.48,overcast clouds
53,Pangnirtung,CA,66.1451,-65.7125,34.29,94,96,2.55,overcast clouds
54,Kapaa,US,22.0752,-159.319,81.48,74,20,12.66,few clouds
55,Castro,BR,-24.7911,-50.0119,44.04,76,99,3.33,overcast clouds
56,Alapur,IN,27.9555,79.2269,97.3,14,49,6.02,scattered clouds
57,Port-Gentil,GA,-0.7193,8.7815,76.96,94,20,5.75,few clouds
58,Arraial Do Cabo,BR,-22.9661,-42.0278,66.06,88,100,10.36,light intensity drizzle
59,Sola,VU,-13.8833,167.55,80.6,77,79,9.35,broken clouds
60,Zaraysk,RU,54.7653,38.8836,57.6,79,35,5.53,scattered clouds
61,Thompson,CA,55.7435,-97.8558,68.16,34,20,12.66,few clouds
62,Kodiak,US,57.79,-152.4072,54.91,71,100,5.75,overcast clouds
63,Rikitea,PF,-23.1203,-134.9692,73.69,79,9,9.37,light rain
64,Hilo,US,19.7297,-155.09,84.27,82,100,6.91,light rain
65,Montepuez,MZ,-13.1256,38.9997,65.12,72,87,8.16,overcast clouds
66,Sidi Ali,DZ,36.0998,0.4206,76.5,48,0,9.48,clear sky
67,Clyde River,CA,70.4692,-68.5914,32.23,93,40,13.8,scattered clouds
68,Vung Tau,VN,10.346,107.0843,81.97,81,79,7.16,light rain
69,Kaitangata,NZ,-46.2817,169.8464,38.77,73,100,11.32,overcast clouds
70,Katsuura,JP,35.1333,140.3,64.85,91,100,25.9,moderate rain
71,Suntar,RU,62.1444,117.6319,47.89,95,63,4.99,light rain
72,Albany,US,42.6001,-73.9662,76.89,48,100,1.01,overcast clouds
73,Okhotsk,RU,59.3833,143.3,42.37,90,100,0.76,overcast clouds
74,Katherine,AU,-14.4667,132.2667,52.12,40,26,5.75,scattered clouds
75,Leningradskiy,RU,69.3833,178.4167,36.84,67,93,8.97,overcast clouds
76,Biloxi,US,30.396,-88.8853,91.4,67,40,9.22,scattered clouds
77,Nieuw Amsterdam,SR,5.8833,-55.0833,86.16,70,40,2.3,scattered clouds
78,Ilulissat,GL,69.2167,-51.1,37.42,75,20,9.22,few clouds
79,Barrow,US,71.2906,-156.7887,33.82,75,100,13.8,overcast clouds
80,Avarua,CK,-21.2078,-159.775,78.85,61,100,13.8,overcast clouds
81,Akersberga,SE,59.4794,18.2997,61.32,67,10,5.75,clear sky
82,Benidorm,ES,38.5382,-0.131,78.75,43,0,1.99,clear sky
83,Hobart,AU,-42.8794,147.3294,40.86,82,40,14.97,scattered clouds
84,Piranhas,BR,-16.4269,-51.8222,78.85,45,100,7.81,overcast clouds
85,Vestmannaeyjar,IS,63.4427,-20.2734,50.25,81,100,25.84,overcast clouds
86,Asfi,MA,32.2994,-9.2372,69.8,88,64,5.19,broken clouds
87,Esperance,AU,-33.8667,121.9,57.72,76,81,15.77,broken clouds
88,Inhambane,MZ,-23.865,35.3833,66.52,84,15,7.11,few clouds
89,Lazaro Cardenas,MX,17.9583,-102.2,87.46,61,79,10.65,broken clouds
90,Nador,MA,35.174,-2.9287,73.65,73,0,5.75,clear sky
91,Saldanha,ZA,-33.0117,17.9442,59.05,79,75,12.37,broken clouds
92,Krasnoarmeysk,RU,51.0239,45.6969,61.59,76,6,7.52,clear sky
93,Flin Flon,CA,54.7682,-101.865,60.64,55,75,8.05,broken clouds
94,Vaini,TO,-21.2,-175.2,77.16,83,75,5.75,broken clouds
95,Kerman,IR,30.2832,57.0788,76.86,15,0,4.61,clear sky
96,New Norfolk,AU,-42.7826,147.0587,40.5,81,90,3.0,overcast clouds
97,Hermanus,ZA,-34.4187,19.2345,63.79,46,76,6.64,broken clouds
98,Corn Island,NI,12.1694,-83.0418,80.06,78,100,23.22,overcast clouds
99,Dusnok,HU,46.3909,18.963,62.94,85,34,7.65,scattered clouds
100,Ipixuna,BR,-1.7625,-48.8043,75.54,93,97,2.51,light rain
101,Podosinovets,RU,60.2776,47.0659,42.6,79,6,5.46,clear sky
102,Moron,AR,-34.6534,-58.6198,58.75,37,28,4.32,scattered clouds
103,Sao Filipe,CV,14.8961,-24.4956,73.74,85,16,8.37,few clouds
104,Port Elizabeth,ZA,-33.918,25.5701,70.11,32,86,11.81,overcast clouds
105,Chuy,UY,-33.6971,-53.4616,47.93,72,44,14.61,scattered clouds
106,Tolstoy-Yurt,RU,43.4444,45.7722,62.92,72,0,4.47,clear sky
107,Cordoba,AR,-31.4135,-64.1811,68.85,32,0,10.36,clear sky
108,East London,ZA,-33.0153,27.9116,73.18,29,11,14.58,few clouds
109,Saint-Pierre,RE,-21.3393,55.4781,65.91,72,20,6.91,few clouds
110,Cherskiy,RU,68.75,161.3,64.62,32,99,4.47,overcast clouds
111,Dubinino,RU,55.6192,89.0911,65.17,79,100,10.69,light rain
112,Hamilton,US,39.1834,-84.5333,78.75,68,20,8.05,few clouds
113,Ucluelet,CA,48.9329,-125.5528,55.09,92,40,7.27,scattered clouds
114,Tazovskiy,RU,67.4667,78.7,57.52,74,100,10.4,overcast clouds
115,Airai,TL,-8.9266,125.4092,56.01,86,100,3.69,overcast clouds
116,Saskylakh,RU,71.9167,114.0833,52.61,53,6,9.86,clear sky
117,Sinnamary,GF,5.3833,-52.95,80.11,80,15,9.08,few clouds
118,Uruzgan,AF,32.8333,66.0,69.19,29,0,8.41,clear sky
119,Victoria,HK,22.2855,114.1577,82.33,93,96,1.99,overcast clouds
120,Ribeira Grande,PT,38.5167,-28.7,64.8,72,20,19.57,few clouds
121,Coihaique,CL,-45.5752,-72.0662,39.81,75,100,0.0,overcast clouds
122,Nyurba,RU,63.2842,118.3319,48.18,89,100,5.32,light rain
123,College,US,64.8569,-147.8028,66.99,46,40,3.44,scattered clouds
124,Hastings,GB,50.8552,0.5729,60.73,77,70,12.03,broken clouds
125,Kamenka,RU,51.3223,42.7678,61.84,86,87,7.92,overcast clouds
126,Olavarria,AR,-36.8927,-60.3225,47.19,37,17,6.04,few clouds
127,Cidreira,BR,-30.1811,-50.2056,50.34,60,5,17.11,clear sky
128,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,50.23,71,6,2.77,clear sky
129,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,94,100,6.13,light rain
130,Khatanga,RU,71.9667,102.5,46.42,67,86,9.53,overcast clouds
131,Vila Velha,BR,-20.3297,-40.2925,73.35,82,75,10.36,broken clouds
132,Kintampo,GH,8.0563,-1.7306,72.68,92,60,5.88,light rain
133,Klaksvik,FO,62.2266,-6.589,50.92,94,78,15.41,broken clouds
134,Fukue,JP,32.6881,128.8419,68.85,87,50,23.64,scattered clouds
135,Acapulco,MX,16.8634,-99.8901,87.62,58,100,8.05,overcast clouds
136,Mbouda,CM,5.6258,10.2552,60.42,94,63,2.46,broken clouds
137,Upernavik,GL,72.7868,-56.1549,30.85,79,27,14.76,scattered clouds
138,Meulaboh,ID,4.1363,96.1285,76.08,88,100,4.0,overcast clouds
139,Sobolevo,RU,54.4299,31.8996,59.9,95,16,6.53,few clouds
140,Kavieng,PG,-2.5744,150.7967,82.44,71,2,13.94,clear sky
141,Concepcion Del Oro,MX,24.6333,-101.4167,82.72,21,24,8.19,few clouds
142,Butaritari,KI,3.0707,172.7902,81.81,76,54,12.55,broken clouds
143,Ripky,UA,51.801,31.0838,69.12,82,47,3.69,scattered clouds
144,Lake City,US,30.1897,-82.6393,89.31,74,75,19.57,broken clouds
145,Susanville,US,40.4163,-120.653,85.91,26,0,19.57,clear sky
146,Andenes,NO,69.3143,16.1194,46.38,93,100,6.91,overcast clouds
147,Flic En Flac,MU,-20.2742,57.3631,73.96,72,20,16.15,few clouds
148,Nikolskoye,RU,59.7035,30.7861,60.69,75,25,4.07,scattered clouds
149,Rumuruti,KE,0.267,36.5389,60.84,76,97,7.38,overcast clouds
150,Kuryk,KZ,43.2,51.65,72.9,47,36,8.52,scattered clouds
151,Guilin,CN,25.2819,110.2864,73.51,98,100,1.61,overcast clouds
152,Churapcha,RU,62.0025,132.4325,57.99,69,100,3.62,overcast clouds
153,Moyale,KE,3.5167,39.0584,69.62,70,99,13.06,light rain
154,Rapid Valley,US,44.0625,-103.1463,89.04,46,0,9.22,clear sky
155,Huron,US,41.1501,-82.5499,78.26,54,100,11.14,overcast clouds
156,Charleston,US,32.7766,-79.9309,86.02,78,0,11.5,clear sky
157,Durban,ZA,-29.8579,31.0292,64.02,88,0,5.01,clear sky
158,Hami,CN,42.8,93.45,72.55,11,0,5.32,clear sky
159,San Quintin,MX,30.4833,-115.95,73.87,64,7,14.7,clear sky
160,Sitka,US,57.0531,-135.33,55.29,54,75,10.36,broken clouds
161,Husavik,IS,66.0449,-17.3389,43.54,99,100,8.1,overcast clouds
162,Carnarvon,AU,-24.8667,113.6333,70.18,67,0,12.01,clear sky
163,Dhidhdhoo,MV,6.8833,73.1,82.63,78,100,14.05,overcast clouds
164,Sabang,ID,5.8933,95.3214,82.76,71,100,15.68,overcast clouds
165,Longyearbyen,SJ,78.2186,15.6401,39.04,81,100,10.36,overcast clouds
166,Thunder Bay,CA,48.4001,-89.3168,64.38,55,20,10.36,few clouds
167,Narsaq,GL,60.9167,-46.05,53.82,62,100,8.05,overcast clouds
168,Bagdarin,RU,54.4333,113.6,51.24,91,65,3.53,broken clouds
169,Coquimbo,CL,-29.9533,-71.3436,53.33,87,75,12.66,broken clouds
170,Mikuni,JP,36.2171,136.1519,64.31,87,52,16.64,broken clouds
171,Plettenberg Bay,ZA,-34.0527,23.3716,76.6,23,100,19.98,overcast clouds
172,Mayo,US,38.8876,-76.5119,74.39,82,100,4.61,overcast clouds
173,Kieta,PG,-6.2167,155.6333,80.22,81,6,5.39,light rain
174,Asau,RO,46.4333,26.4,63.95,100,95,5.57,overcast clouds
175,Neiafu,TO,-18.65,-173.9833,79.48,83,40,11.5,scattered clouds
176,Northam,GB,51.0333,-4.2167,57.38,87,44,12.06,scattered clouds
177,Kachug,RU,53.9606,105.8817,50.85,66,39,2.06,scattered clouds
178,Naryan-Mar,RU,67.6713,53.087,37.92,76,30,8.77,scattered clouds
179,Yichun,CN,47.7,128.9,53.28,66,9,1.1,clear sky
180,Ambanja,MG,-13.6833,48.45,69.12,88,32,3.83,scattered clouds
181,San Patricio,US,28.017,-97.5169,101.12,36,1,19.53,clear sky
182,Alugan,PH,12.2188,125.4808,78.49,83,49,6.78,scattered clouds
183,Noyabrsk,RU,63.1994,75.4507,55.99,94,100,9.84,overcast clouds
184,San Lorenzo,PY,-25.3333,-57.5333,59.94,44,0,7.0,clear sky
185,Saint-Georges,GD,12.0564,-61.7485,83.88,79,40,19.57,scattered clouds
186,Chippewa Falls,US,44.9369,-91.3929,75.38,77,75,4.61,broken clouds
187,Bonavista,CA,48.6499,-53.1147,55.99,74,100,19.33,overcast clouds
188,Bajil,YE,15.0584,43.2851,91.65,42,32,3.36,scattered clouds
189,Hithadhoo,MV,-0.6,73.0833,83.55,71,87,9.57,light rain
190,Pevek,RU,69.7008,170.3133,40.33,56,81,7.49,broken clouds
191,Prabumulih,ID,-3.45,104.25,72.45,99,100,2.59,moderate rain
192,Lebu,CL,-37.6167,-73.65,52.57,78,100,4.79,overcast clouds
193,Rawson,AR,-43.3002,-65.1023,54.91,49,100,9.84,overcast clouds
194,Yerbogachen,RU,61.2767,108.0108,48.27,62,58,1.63,broken clouds
195,Pacific Grove,US,36.6177,-121.9166,90.55,66,0,8.05,clear sky
196,Penzance,GB,50.1186,-5.5371,59.68,82,75,13.76,broken clouds
197,Yashkul,RU,46.1711,45.3435,77.4,29,44,8.97,scattered clouds
198,Nanortalik,GL,60.1432,-45.2371,43.59,85,100,20.38,moderate rain
199,Mahebourg,MU,-20.4081,57.7,73.69,68,75,11.5,broken clouds
200,Lagoa,PT,39.05,-27.9833,60.8,80,98,10.02,overcast clouds
201,Luderitz,NA,-26.6481,15.1594,65.75,45,31,7.96,scattered clouds
202,Muros,ES,42.7762,-9.0603,67.68,80,9,16.93,clear sky
203,Kismayo,SO,-0.3582,42.5454,78.82,79,100,15.57,light rain
204,Provideniya,RU,64.3833,-173.3,37.62,70,95,0.89,overcast clouds
205,Byron Bay,AU,-28.65,153.6167,49.71,57,2,6.85,clear sky
206,Lompoc,US,34.6391,-120.4579,81.59,67,0,16.11,clear sky
207,Avera,US,33.194,-82.5271,91.54,41,81,1.5,broken clouds
208,Anadyr,RU,64.75,177.4833,45.1,56,0,11.18,clear sky
209,Sangar,RU,63.9242,127.4739,53.31,81,100,3.13,overcast clouds
210,Tarko-Sale,RU,64.9225,77.785,60.75,70,98,17.65,overcast clouds
211,Nome,US,64.5011,-165.4064,49.15,40,0,0.0,clear sky
212,Dharchula,IN,29.85,80.5333,72.59,43,32,6.26,scattered clouds
213,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,92,100,13.8,overcast clouds
214,Kodino,RU,63.7198,39.6447,48.63,78,32,4.25,scattered clouds
215,Kharitonovo,RU,61.4009,47.4978,42.46,74,12,4.81,few clouds
216,Cedar City,US,37.6775,-113.0619,92.37,10,0,16.11,clear sky
217,Padang,ID,-0.9492,100.3543,73.9,93,100,3.27,moderate rain
218,Bonthe,SL,7.5264,-12.505,79.47,81,100,7.9,overcast clouds
219,Necochea,AR,-38.5473,-58.7368,46.45,72,0,5.88,clear sky
220,Evensk,RU,61.95,159.2333,41.52,93,100,8.86,light rain
221,Tadine,NC,-21.55,167.8833,74.79,88,84,5.91,broken clouds
222,Hisor,TJ,38.525,68.5512,73.15,50,1,4.05,clear sky
223,Storsteinnes,NO,69.2408,19.2344,48.85,93,100,4.81,light rain
224,Vanimo,PG,-2.6741,141.3028,76.46,89,62,3.98,broken clouds
225,Kodinsk,RU,58.6881,99.1844,54.9,64,72,5.26,broken clouds
226,Blagoveshchenka,RU,52.8333,79.8667,61.39,65,69,4.29,broken clouds
